Gain DAC	Relative gain
0	1
1	1.00414595613588
2	1.00828505367635
3	1.01241733041419
4	1.01654282414217
5	1.02066157265306
6	1.02477361373965
7	1.02887898519472
8	1.03297772481103
9	1.03706987038136
10	1.04115545969849
11	1.04523453055521
12	1.04930712074427
13	1.05337326805846
14	1.05743301029056
15	1.06148638523334
16	1.06553343067958
17	1.06957418442206
18	1.07360868425354
19	1.07763696796682
20	1.08165907335466
21	1.08567503820983
22	1.08968490032513
23	1.09368869749332
24	1.09768646750717
25	1.10167824815948
26	1.105664077243
27	1.10964399255053
28	1.11361803187483
29	1.11758623300868
30	1.12154863374486
31	1.12550527187614
32	1.1294561851953
33	1.13340141149512
34	1.13734098856838
35	1.14127495420784
36	1.14520334620629
37	1.1491262023565
38	1.15304356045125
39	1.15695545828332
40	1.16086193364548
41	1.1647630243305
42	1.16865876813117
43	1.17254920284026
44	1.17643436625055
45	1.18031429615481
46	1.18418903034582
47	1.18805860661635
48	1.19192306275919
49	1.19578243656711
50	1.19963676583288
51	1.20348608834929
52	1.2073304419091
53	1.2111698643051
54	1.21500439333005
55	1.21883406677675
56	1.22265892243796
57	1.22647899810646
58	1.23029433157502
59	1.23410496063643
60	1.23791092308345
61	1.24171225670887
62	1.24550899930547
63	1.24930118866601
64	1.25308886258328
65	1.25687205885004
66	1.26065081525909
67	1.26442516960318
68	1.26819515967511
69	1.27196082326765
70	1.27572219817356
71	1.27947932218564
72	1.28323223309665
73	1.28698096869937
74	1.29072556678658
75	1.29446606515106
76	1.29820250158558
77	1.30193491388291
78	1.30566333983584
79	1.30938781723714
80	1.31310838387958
81	1.31682507755595
82	1.32053793605902
83	1.32424699718156
84	1.32795229871635
85	1.33165387845618
86	1.3353517741938
87	1.33904602372201
88	1.34273666483358
89	1.34642373532128
90	1.35010727297789
91	1.35378731559619
92	1.35746390096894
93	1.36113706688894
94	1.36480685114896
95	1.36847329154177
96	1.37213642586014
97	1.37579629189686
98	1.3794529274447
99	1.38310637029644
100	1.38675665824486
101	1.39040382908272
102	1.39404792060281
103	1.3976889705979
104	1.40132701686077
105	1.4049620971842
106	1.40859424936096
107	1.41222351118383
108	1.41584992044559
109	1.419473514939
110	1.42309433245686
111	1.42671241079192
112	1.43032778773698
113	1.43394050108481
114	1.43755058862817
115	1.44115808815986
116	1.44476303747264
117	1.4483654743593
118	1.4519654366126
119	1.45556296202533
120	1.45915808839027
121	1.46275085350017
122	1.46634129514784
123	1.46992945112603
124	1.47351535922753
125	1.47709905724511
126	1.48068058297156
127	1.48425997419964
128	1.48783726872213
129	1.49141250433181
130	1.49498571882146
131	1.49855694998384
132	1.50212623561175
133	1.50569361349795
134	1.50925912143522
135	1.51282279721634
136	1.51638467863408
137	1.51994480348122
138	1.52350320955054
139	1.52705993463481
140	1.53061501652681
141	1.53416849301931
142	1.53772040190509
143	1.54127078097694
144	1.54481966802762
145	1.54836710084991
146	1.55191311723658
147	1.55545775498042
148	1.5590010518742
149	1.5625430457107
150	1.56608377428268
151	1.56962327538294
152	1.57316158680425
153	1.57669874633937
154	1.58023479178109
155	1.58376976092219
156	1.58730369155544
157	1.59083662147361
158	1.59436858846949
159	1.59789963033585
160	1.60142978486547
161	1.60495908985112
162	1.60848758308558
163	1.61201530236162
164	1.61554228547202
165	1.61906857020957
166	1.62259419436703
167	1.62611919573718
168	1.62964361211279
169	1.63316748128665
170	1.63669084105153
171	1.64021372920021
172	1.64373618352546
173	1.64725824182006
174	1.65077994187678
175	1.65430132148841
176	1.65782241844772
177	1.66134327054748
178	1.66486391558047
179	1.66838439133947
180	1.67190473561725
181	1.67542498620659
182	1.67894518090027
183	1.68246535749107
184	1.68598555377175
185	1.6895058075351
186	1.69302615657389
187	1.69654663868089
188	1.7000672916489
189	1.70358815327067
190	1.70710926133899
191	1.71063065364664
192	1.71415236798639
193	1.71767444215101
194	1.72119691393329
195	1.72471982112599
196	1.72824320152191
197	1.7317670929138
198	1.73529153309445
199	1.73881655985664
200	1.74234221099314
201	1.74586852429673
202	1.74939553756018
203	1.75292328857627
204	1.75645181513778
205	1.75998115503748
206	1.76351134606815
207	1.76704242602257
208	1.77057443269351
209	1.77410740387375
210	1.77764137735606
211	1.78117639093323
212	1.78471248239802
213	1.78824968954322
214	1.7917880501616
215	1.79532760204593
216	1.798868382989
217	1.80241043078358
218	1.80595378322244
219	1.80949847809837
220	1.81304455320413
221	1.81659204633251
222	1.82014099527629
223	1.82369143782823
224	1.82724341178111
225	1.83079695492772
226	1.83435210506082
227	1.8379088999732
228	1.84146737745762
229	1.84502757530687
230	1.84858953131373
231	1.85215328327096
232	1.85571886897135
233	1.85928632620767
234	1.8628556927727
235	1.86642700645921
236	1.87000030505999
237	1.8735756263678
238	1.87715300817543
239	1.88073248827564
240	1.88431410446122
241	1.88789789452495
242	1.89148389625959
243	1.89507214745793
244	1.89866268591274
245	1.9022555494168
